Timestamp,Well_ID,Depth,Pressure,Temperature
2024-07-01T12:00:00Z,W1,1000,1500,100
2024-07-01T12:01:00Z,W2,1100,1600,105
2024-07-01T12:02:00Z,W3,1200,1700,110
2024-07-01T12:03:00Z,W4,1300,1800,115
2024-07-01T12:04:00Z,W5,1400,1900,120
2024-07-01T12:05:00Z,W6,1500,2000,125
2024-07-01T12:06:00Z,W7,1600,2100,130
2024-07-01T12:07:00Z,W8,1700,2200,135
2024-07-01T12:08:00Z,W9,1800,2300,140
2024-07-01T12:09:00Z,W10,1900,2400,145
2024-07-01T12:10:00Z,W11,2000,2500,150
2024-07-01T12:11:00Z,W12,2100,2600,155
2024-07-01T12:12:00Z,W13,2200,2700,160
2024-07-01T12:13:00Z,W14,2300,2800,165
2024-07-01T12:14:00Z,W15,2400,2900,170
2024-07-01T12:15:00Z,W16,2500,3000,175
2024-07-01T12:16:00Z,W17,2600,3100,180
2024-07-01T12:17:00Z,W18,2700,3200,185
2024-07-01T12:18:00Z,W19,2800,3300,190
2024-07-01T12:19:00Z,W20,2900,3400,195
